"","X","course","chapter","sequential","vertical","terminal","seq","ver"
"44",43,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6413176fefc646899275a81efec069e3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@618eacbd641d4c0fb9318a5608a1261f","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@dd32197e0fcd4080aae7e335f40031b4",4,2
"45",44,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@1a1bf55631374283a92c1588b5dfabfb","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@cb8768791b1b4031ac52c81d8010bef5","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@7fb22b1d65184edb97f4267a590c318d",5,2
"46",45,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@1a1bf55631374283a92c1588b5dfabfb","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@cb8768791b1b4031ac52c81d8010bef5","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@2b814313688a438fad8b11ff61e2aaa3",5,2
"47",46,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@77e93d3b460c4ed1b545c9d5adecc905","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b705d825e59a418987b7994eed75a76b","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@292a3404ae284f198349af48afaff2ec",6,3
"48",47,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@77e93d3b460c4ed1b545c9d5adecc905","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b705d825e59a418987b7994eed75a76b","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@3b0fff39ce844305ab7dbdc0cc782202",6,3
"49",48,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f76d84f241a04c3dad308025e0f0f26e","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@990594558abf41439a2eb790540555c6","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@0a5530c8d51a4f6d820d0ba8602db279",13,2
"50",49,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6b8b1f693e5b465cba5a7c177cf937c0","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b2a827fe5f0845328969dfa30095cc02","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@d94f4c85f50f4244bae9cae00a1df273",12,1
"51",50,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6b8b1f693e5b465cba5a7c177cf937c0","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@65252c6f828d421e993271a6a820e3eb","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@1f99c2ecc96545c9aa74381d5d1317a9",12,2
"52",51,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6b8b1f693e5b465cba5a7c177cf937c0","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@65252c6f828d421e993271a6a820e3eb","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@830eab1fbd334c8c9178137779ac9987",12,2
"53",52,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@483dc3b5e1f5472f8c8e3fedffe25425","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@941cd86417a3478f927003e3e9091e9b","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@4f512356e21a4de28ae2cf3c366dda16",6,1
"54",53,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f211eede6a944affad84c1bcb538cd49","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@281ab18402cb4378adb7dba7567a1a3d","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@cf35dc47585d430f87322bf65c1b9258",12,1
"55",54,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4819426805b543a3a8a471e402d5fa9e","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@42ec1672ed4b43149bd8c9f62138fc95","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@2423b9b8ec98420a8ab1e1dfd05052cd",2,2
"56",55,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4819426805b543a3a8a471e402d5fa9e","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@42ec1672ed4b43149bd8c9f62138fc95","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@0e90ac3e0ea24da6ad9b01a2a625d050",2,2
"57",56,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","0","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@9ef08ecb93cf4a58874a7dbdc325dbd3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@a6d977722cc24eafb1ca0178c1586e7f","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@bd7f30844dcd45e3848c5a10f082a616",2,1
"58",57,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","0","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@9ef08ecb93cf4a58874a7dbdc325dbd3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@a6d977722cc24eafb1ca0178c1586e7f","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@86935e22b6b746308a4943dc349da19e",2,1
"59",58,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@eb0aef45d0064e1ca0a5e4026a615ec7","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@8fca05116c6d47749c438443870ea5db","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@f2fd059d6bd843b8a5f451ae9904ebb1",9,2
"60",59,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@bfc7d7cc654e4ca18db4213d5066e80c","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@559c1062133645649086ec2e61c81168","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@f8b45faa01ac4f53938941f400f354b2",11,2
"61",60,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@bfc7d7cc654e4ca18db4213d5066e80c","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@559c1062133645649086ec2e61c81168","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@6324e4f36be8425eb6f739087b0cfb3f",11,2
"62",61,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5ee34cd646a44106b7bf48edb07fac8c","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@0a5376b159254000b99c637e9b762eea","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@8574016fd57c420c8dee79ee591e59d8",15,2
"63",62,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5ee34cd646a44106b7bf48edb07fac8c","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@0a5376b159254000b99c637e9b762eea","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@5022730437be400fa9f00c5b795a137e",15,2
"64",63,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@1687692c435540209e762942dd415ab1","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@5d666aa070c2437f8417fd7b83f553a0","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@a13a8b83ca274048902996be821eeebb",7,2
"65",64,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4a2fba9577434da59c2cea9cc84c0373","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@bc4b2196ad8c434d850db5d936e0f38e","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@b4499425e8fd49a8850f9704ad5bee12",13,3
"66",65,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4a2fba9577434da59c2cea9cc84c0373","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@bc4b2196ad8c434d850db5d936e0f38e","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@3b7151722c064b44befa6cff832c6ace",13,3
"67",66,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@ba299edbaed24465a7f81dde7b446d2b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@cedc1edde61c42d981cc66deebd84529","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@095e90ab3f684761a43c8bc0fbe99db7",9,3
"68",67,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@ba299edbaed24465a7f81dde7b446d2b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@cedc1edde61c42d981cc66deebd84529","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@257765f472194e17afb77db5b8dfe335",9,3
"69",68,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@54baadd3723f4de1ae959c148f2fedf3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@4a39ea6a618b4cd4b45317e997197828","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@883eeb1bae484b2bab4784e9c43707f1",7,2
